ANIO FISCAL;ACTIVIDAD ECONÓMICA;TOTAL GASTOS (798);TOTAL COSTOS (797);TOTAL IMPUESTO CAUSADO (839)
2006;E370000;201471.47;0;29381.08
2006;E381100;6199.25;0;305768.97
2006;E381200;NA;NA;5305.52
2006;E382101;NA;NA;3432.04
2006;E382200;NA;NA;13750.44
2006;E383001;NA;NA;131788.8
2006;E383002;NA;NA;756.25
2006;E390009;NA;NA;0
2006;F410010;6530196.09;25414627.19;5679180.51
2006;F410020;40827.74;3019424.24;862667.41
2006;F410030;NA;NA;1065.46
2006;F421011;786469.49;4250594.31;5411481.71
2006;F421012;0;0;9467.96
2006;F421031;54679.91;781108.83;95403.99
2006;F422011;354664.82;482060.65;937942.66
2006;F422012;0;0;44181.86
2006;F422020;736702.34;268000.33;218514.85
2006;F429012;NA;NA;6318.18
2006;F429091;0;0;122353.43
2006;F429092;NA;NA;1784.24
2006;F431201;NA;NA;2602.07
2006;F431202;1291.31;53604.7;54948.44
2006;F431203;NA;NA;17674.43
2006;F431205;24516.75;416067.36;21893.27
2006;F432101;421915.43;3609960.53;1246003.9
2006;F432102;1089796.38;1618889.58;255955.04
2006;F432103;NA;NA;6215.42
2006;F432201;4621.48;0;19195.28
2006;F432202;0;0;98188.01
2006;F432204;NA;NA;0
2006;F432901;NA;NA;10915.16
2006;F432904;NA;NA;0
2006;F433020;NA;NA;23252.76
2006;F433031;NA;NA;8309.01
2006;F433041;NA;NA;3421.41
2006;F433042;NA;NA;196.1
2006;F433091;NA;NA;14535.9
2006;F439011;0;0;152646.81
2006;F439012;NA;NA;371.42
2006;F439013;NA;NA;40738.19
2006;F439016;NA;NA;5892.19
2006;F439020;13810.48;383920.68;135197.84
2006;F439091;NA;NA;0
2006;F439092;NA;NA;736.56
2006;G451001;19350024.21;101971714.64;20155869.68
2006;G452001;1433788.03;3576616.82;1691703.41
2006;G452002;NA;NA;9026.14
2006;G452003;402814.43;2034313.12;75284.27
2006;G453000;1547563.28;4837780.59;4660192.09
2006;G454001;49162.71;106237.1;226805.56
2006;G454002;NA;NA;21195.22
2006;G461001;NA;NA;8975.83
2006;G461002;3935937.6;6100527.41;530227.6
2006;G461003;NA;NA;9297.3
2006;G461004;NA;NA;17817.43
2006;G461007;NA;NA;620.26
2006;G461009;NA;NA;2879.59
2006;G462011;0;0;181002.87
2006;G462012;NA;NA;10828.34
2006;G462013;NA;NA;0
2006;G462014;0;0;90207.04
2006;G462015;46173.43;10521693.78;260561.95
2006;G462019;166728.06;338708.46;624260.99
2006;G462021;0;0;7299.28
2006;G462022;NA;NA;31461.88
2006;G463011;443337.82;20319429.89;3057136.01
