Fecha "Riesgo País"
2011-06-07T00:00:00Z 782
2011-06-08T00:00:00Z 789
2011-06-09T00:00:00Z 795
2011-06-10T00:00:00Z 797
2011-06-11T00:00:00Z 797
2011-06-12T00:00:00Z 797
2011-06-13T00:00:00Z 797
2011-06-14T00:00:00Z 787
2011-06-15T00:00:00Z 799
2011-06-16T00:00:00Z 803
2011-06-17T00:00:00Z 803
2011-06-18T00:00:00Z 803
2011-06-19T00:00:00Z 803
2011-06-20T00:00:00Z 802
2011-06-21T00:00:00Z 801
2011-06-22T00:00:00Z 801
2011-06-23T00:00:00Z 809
2011-06-24T00:00:00Z 816
2011-06-25T00:00:00Z 816
2011-06-26T00:00:00Z 816
2011-06-27T00:00:00Z 810
2011-06-28T00:00:00Z 796
2011-06-29T00:00:00Z 787
2011-06-30T00:00:00Z 783
2011-07-01T00:00:00Z 779
2011-07-02T00:00:00Z 779
2011-07-03T00:00:00Z 779
2011-07-04T00:00:00Z 779
2011-07-05T00:00:00Z 790
2011-07-06T00:00:00Z 794
2011-07-07T00:00:00Z 772
2011-07-08T00:00:00Z 788
2011-07-09T00:00:00Z 788
2011-07-10T00:00:00Z 788
2011-07-11T00:00:00Z 796
2011-07-12T00:00:00Z 797
2011-07-13T00:00:00Z 797
2011-07-14T00:00:00Z 794
2011-07-15T00:00:00Z 799
2011-07-16T00:00:00Z 799
2011-07-17T00:00:00Z 799
2011-07-18T00:00:00Z 800
2011-07-19T00:00:00Z 799
2011-07-20T00:00:00Z 796
2011-07-21T00:00:00Z 763
2011-07-22T00:00:00Z 766
2011-07-23T00:00:00Z 766
2011-07-24T00:00:00Z 766
2011-07-25T00:00:00Z 764
2011-07-26T00:00:00Z 768
2011-07-27T00:00:00Z 764
2011-07-28T00:00:00Z 764
2011-07-29T00:00:00Z 779
2011-07-30T00:00:00Z 779
2011-07-31T00:00:00Z 779
2011-08-01T00:00:00Z 782
2011-08-02T00:00:00Z 791
2011-08-03T00:00:00Z 789
2011-08-04T00:00:00Z 799
2011-08-05T00:00:00Z 790
2011-08-06T00:00:00Z 790
2011-08-07T00:00:00Z 790
2011-08-08T00:00:00Z 801
2011-08-09T00:00:00Z 872
2011-08-10T00:00:00Z 872
2011-08-11T00:00:00Z 869
2011-08-12T00:00:00Z 900
2011-08-13T00:00:00Z 900
2011-08-14T00:00:00Z 900
2011-08-15T00:00:00Z 896
2011-08-16T00:00:00Z 901
2011-08-17T00:00:00Z 902
2011-08-18T00:00:00Z 903
2011-08-19T00:00:00Z 901
2011-08-20T00:00:00Z 901
2011-08-21T00:00:00Z 901
2011-08-22T00:00:00Z 899
2011-08-23T00:00:00Z 900
2011-08-24T00:00:00Z 892
2011-08-25T00:00:00Z 896
2011-08-26T00:00:00Z 901
2011-08-27T00:00:00Z 901
2011-08-28T00:00:00Z 901
2011-08-29T00:00:00Z 868
2011-08-30T00:00:00Z 872
2011-08-31T00:00:00Z 871
2011-09-01T00:00:00Z 876
2011-09-02T00:00:00Z 876
2011-09-03T00:00:00Z 876
2011-09-04T00:00:00Z 876
2011-09-05T00:00:00Z 876
2011-09-06T00:00:00Z 876
2011-09-07T00:00:00Z 874
2011-09-08T00:00:00Z 877
2011-09-09T00:00:00Z 896
2011-09-10T00:00:00Z 896
2011-09-11T00:00:00Z 896
2011-09-12T00:00:00Z 892
2011-09-13T00:00:00Z 889
2011-09-14T00:00:00Z 889
2011-09-15T00:00:00Z 886
2011-09-16T00:00:00Z 888
2011-09-17T00:00:00Z 888
2011-09-18T00:00:00Z 888
2011-09-19T00:00:00Z 911
2011-09-20T00:00:00Z 881
2011-09-21T00:00:00Z 876
2011-09-22T00:00:00Z 881
2011-09-23T00:00:00Z 877
2011-09-24T00:00:00Z 877
2011-09-25T00:00:00Z 877
2011-09-26T00:00:00Z 873
2011-09-27T00:00:00Z 869
2011-09-28T00:00:00Z 869
2011-09-29T00:00:00Z 868
2011-09-30T00:00:00Z 868
2011-10-01T00:00:00Z 868
2011-10-02T00:00:00Z 868
